,filename,token_dupl,lemmas,lemma_dupl,avg_forms_per_lemma,avg_sent_len,unique_ft_clusts,perc_dupl_ft_clusts
64,../TheLatinLibraryScraper/data/texts/campion_,0.6923,52,0.6923076923076923,1.0,7.4286,17,0.3269
65,../TheLatinLibraryScraper/data/texts/capellanus.txt,0.84,25,0.84,1.0,5.0,10,0.4
66,../TheLatinLibraryScraper/data/texts/carm.bur.txt,0.1101,1499,0.1000667111407605,1.1,22.7121,63,0.042
67,../TheLatinLibraryScraper/data/texts/carmenarvale.txt,0.3558,104,0.3557692307692308,1.027,5.7778,21,0.2019
68,../TheLatinLibraryScraper/data/texts/carmensaliare.txt,0.8413,63,0.8253968253968254,1.0192,4.2,24,0.381
69,../TheLatinLibraryScraper/data/texts/cassiodorus.txt,0.6613,62,0.6612903225806451,1.0,7.75,15,0.2419
70,../TheLatinLibraryScraper/data/texts/catalogueliberien.txt,0.3272,1522,0.30749014454664914,1.0641,11.7984,78,0.0512
71,../TheLatinLibraryScraper/data/texts/cato.dis.txt,0.4224,2898,0.321256038647343,1.3233,7.1556,234,0.0807
72,../TheLatinLibraryScraper/data/texts/cato_cato.agri.txt,0.2705,19707,0.19937078195565028,1.3879,11.5787,431,0.0219
73,../TheLatinLibraryScraper/data/texts/cato_cato.frag.txt,0.3558,2625,0.312,1.1416,8.8983,220,0.0838
74,../TheLatinLibraryScraper/data/texts/celtis.odes.txt,0.1581,2037,0.14678448699067256,1.0769,25.7848,115,0.0565
75,../TheLatinLibraryScraper/data/texts/celtis.oratio.txt,0.054,39597,0.04073540924817537,1.3304,24.1592,389,0.0098
76,../TheLatinLibraryScraper/data/texts/censorinus.txt,0.3348,12119,0.22741150259922435,1.4891,20.1647,468,0.0386
77,../TheLatinLibraryScraper/data/texts/certamen.txt,0.5644,202,0.5643564356435643,1.0,9.1818,28,0.1386
78,../TheLatinLibraryScraper/data/texts/certamen_afa1.1.txt,0.0233,19240,0.022920997920997922,1.0249,9.5769,58,0.003
79,../TheLatinLibraryScraper/data/texts/certamen_afa1.2.txt,0.0282,13711,0.027642039238567572,1.029,8.6396,56,0.0041
80,../TheLatinLibraryScraper/data/texts/certamen_afa1.3.txt,0.0292,14094,0.02880658436213992,1.0271,7.4023,59,0.0042
81,../TheLatinLibraryScraper/data/texts/certamen_afa1.finals.txt,0.0138,41913,0.01369503495335576,1.0209,9.0116,77,0.0018
82,../TheLatinLibraryScraper/data/texts/certamen_afa2.1.txt,0.029,14838,0.02844049063216067,1.0284,8.2848,56,0.0038
83,../TheLatinLibraryScraper/data/texts/certamen_afa2.2.txt,0.0266,15965,0.026746006890072033,1.0141,9.282,63,0.0039
84,../TheLatinLibraryScraper/data/texts/certamen_afa2.3.txt,0.0326,17381,0.03273689661124216,1.0176,9.9037,78,0.0045
85,../TheLatinLibraryScraper/data/texts/certamen_afa2.finals.txt,0.0157,43508,0.015491403879746254,1.0252,9.819,82,0.0019
86,../TheLatinLibraryScraper/data/texts/certamen_afa2001.1.1.txt,0.0443,8812,0.04369042215161144,1.0234,6.5517,48,0.0054
87,../TheLatinLibraryScraper/data/texts/certamen_afa2001.1.2.txt,0.1272,3421,0.12306343174510377,1.038,7.6532,58,0.017
88,../TheLatinLibraryScraper/data/texts/certamen_afa2001.1.3.txt,0.0583,7268,0.05764997248211337,1.0167,8.7884,48,0.0066
89,../TheLatinLibraryScraper/data/texts/certamen_afa2001.1.finals.txt,0.0397,14238,0.038909959263941564,1.0343,7.8446,76,0.0053
90,../TheLatinLibraryScraper/data/texts/certamen_afa2001.2.1.txt,0.0416,11140,0.04111310592459605,1.0197,8.0783,73,0.0066
91,../TheLatinLibraryScraper/data/texts/certamen_afa2001.2.2.txt,0.0305,14601,0.03027189918498733,1.0158,9.0465,50,0.0034
92,../TheLatinLibraryScraper/data/texts/certamen_afa2001.2.3.txt,0.0259,16597,0.02542628185816714,1.0355,9.5276,56,0.0034
93,../TheLatinLibraryScraper/data/texts/certamen_afa2001.2.finals.txt,0.02,30238,0.019445730537733977,1.0425,8.8519,81,0.0027
94,../TheLatinLibraryScraper/data/texts/certamen_afa2001.3.1.txt,0.0499,8836,0.0496831145314622,1.0228,8.4555,59,0.0067
95,../TheLatinLibraryScraper/data/texts/certamen_afa2001.3.finals.txt,0.0142,43662,0.013970958728413724,1.0279,7.9371,86,0.002
96,../TheLatinLibraryScraper/data/texts/certamen_afa2002.1.1.txt,0.451,969,0.4458204334365325,1.0162,7.9426,55,0.0568
97,../TheLatinLibraryScraper/data/texts/certamen_afa2002.1.2.txt,0.1272,3421,0.12306343174510377,1.038,7.6532,58,0.017
98,../TheLatinLibraryScraper/data/texts/certamen_afa2002.1.3.txt,0.2163,1549,0.21497740477727567,1.012,7.4115,57,0.0368
99,../TheLatinLibraryScraper/data/texts/certamen_afa2002.1.finals.txt,0.0477,10208,0.04692398119122257,1.0313,8.6289,77,0.0075
100,../TheLatinLibraryScraper/data/texts/certamen_afa2002.2.1.txt,0.4525,915,0.4524590163934426,1.0121,7.7542,57,0.0623
101,../TheLatinLibraryScraper/data/texts/certamen_afa2002.2.2.txt,0.1199,2602,0.11721752498078401,1.0262,7.0324,45,0.0173
102,../TheLatinLibraryScraper/data/texts/certamen_afa2002.2.3.txt,0.144,1938,0.1434468524251806,1.0072,8.8493,40,0.0206
103,../TheLatinLibraryScraper/data/texts/certamen_afa2002.2.finals.txt,0.0801,5093,0.0803063027685058,1.0122,8.9982,52,0.0102
104,../TheLatinLibraryScraper/data/texts/certamen_afa2002.3.1.txt,0.0831,4368,0.08218864468864469,1.0167,8.1645,49,0.0112
105,../TheLatinLibraryScraper/data/texts/certamen_afa2002.3.2.txt,0.0944,4099,0.09465723347157844,1.0077,7.7486,50,0.0122
106,../TheLatinLibraryScraper/data/texts/certamen_afa2002.3.3.txt,0.0814,4583,0.08138773728998473,1.008,7.2978,57,0.0124
107,../TheLatinLibraryScraper/data/texts/certamen_afa2002.3.finals.txt,0.0581,10076,0.05706629614926558,1.0296,8.5245,75,0.0074
108,../TheLatinLibraryScraper/data/texts/certamen_afa2002.4.1.txt,0.0831,4467,0.0819341840161182,1.0191,8.0924,50,0.0112
109,../TheLatinLibraryScraper/data/texts/certamen_afa2002.4.2.txt,0.0857,4537,0.08551906546175887,1.0129,7.7291,53,0.0117
110,../TheLatinLibraryScraper/data/texts/certamen_afa2002.4.3.txt,0.083,4480,0.08325892857142857,1.008,7.3563,57,0.0127
111,../TheLatinLibraryScraper/data/texts/certamen_afa2002.4.finals.txt,0.0529,10965,0.05198358413132695,1.0298,8.5397,75,0.0068
112,../TheLatinLibraryScraper/data/texts/certamen_afa3.1.txt,0.0423,11903,0.04251029152314543,1.0178,9.7247,62,0.0052
113,../TheLatinLibraryScraper/data/texts/certamen_afa3.2.txt,0.0537,8549,0.053456544625102353,1.0175,9.2123,66,0.0077
114,../TheLatinLibraryScraper/data/texts/certamen_afa3.3.txt,0.0321,15660,0.031928480204342274,1.014,8.4058,68,0.0043
115,../TheLatinLibraryScraper/data/texts/certamen_afa3.finals.txt,0.0208,28430,0.0204009848751319,1.0397,7.9126,83,0.0029
116,../TheLatinLibraryScraper/data/texts/certamen_afa4.1.txt,0.055,8054,0.054507077228706236,1.0228,7.6197,65,0.0081
117,../TheLatinLibraryScraper/data/texts/certamen_afa4.2.txt,0.0343,16655,0.034584208946262386,1.0087,10.5411,62,0.0037
118,../TheLatinLibraryScraper/data/texts/certamen_afa4.3.txt,0.0287,21290,0.028182245185533115,1.025,9.4454,83,0.0039
119,../TheLatinLibraryScraper/data/texts/certamen_afa4.finals.txt,0.0195,34292,0.019158987518954857,1.0259,8.1357,82,0.0024
120,../TheLatinLibraryScraper/data/texts/certamen_capital2002.1.1.txt,0.0432,9909,0.042587546674740136,1.019,8.5867,62,0.0063
121,../TheLatinLibraryScraper/data/texts/certamen_capital2002.1.2.txt,0.2811,1622,0.2718865598027127,1.0431,7.4404,69,0.0425
122,../TheLatinLibraryScraper/data/texts/certamen_capital2002.1.3.txt,0.4632,991,0.45509586276488395,1.02,7.2336,66,0.0666
123,../TheLatinLibraryScraper/data/texts/certamen_capital2002.1.4.txt,0.4678,994,0.46378269617706236,1.013,7.1511,57,0.0573
124,../TheLatinLibraryScraper/data/texts/certamen_capital2002.2.1.txt,0.4852,946,0.4809725158562368,1.0132,7.8182,64,0.0677
125,../TheLatinLibraryScraper/data/texts/certamen_capital2002.2.2.txt,0.5014,1105,0.4995475113122172,1.0163,12.4157,61,0.0552
126,../TheLatinLibraryScraper/data/texts/certamen_capital2002.2.3.txt,0.4263,997,0.4222668004012036,1.0166,7.1727,60,0.0602
127,../TheLatinLibraryScraper/data/texts/certamen_capital2002.2.4.txt,0.4278,1087,0.42226310947562096,1.0218,7.6549,68,0.0626
128,../TheLatinLibraryScraper/data/texts/certamen_capital2002.3.1.txt,0.4995,985,0.49137055837563454,1.031,8.2773,79,0.0802
129,../TheLatinLibraryScraper/data/texts/certamen_capital2002.3.2.txt,0.4718,1098,0.4726775956284153,1.0154,7.4189,68,0.0619
130,../TheLatinLibraryScraper/data/texts/certamen_capital2002.3.3.txt,0.5163,1104,0.5108695652173914,1.0177,8.6929,60,0.0543
131,../TheLatinLibraryScraper/data/texts/certamen_capital2002.3.4.txt,0.4774,1148,0.47735191637630664,1.0164,7.6026,69,0.0601
132,../TheLatinLibraryScraper/data/texts/certamen_cc2002.1.1.txt,0.4182,1143,0.41819772528433946,1.0105,6.1452,49,0.0429
133,../TheLatinLibraryScraper/data/texts/certamen_certamenquestions.txt,0.0064,6833,0.006439338504317283,1.0,7.8091,16,0.0023
134,../TheLatinLibraryScraper/data/texts/certamen_chan96.1.txt,0.0383,23399,0.03790760288901235,1.0214,7.7789,82,0.0035
